Date: December 5, 2024 | Session: 1 | Platform: Red | Start Time: 8:00 AM | Weight Class: Female 55kg D | Entry Total: 57-100 | Lifters: 14
Date: December 5, 2024 | Session: 1 | Platform: White | Start Time: 8:00 AM | Weight Class: Male 32kg-61kg C | Entry Total: 45-144 | Lifters: 12
Date: December 5, 2024 | Session: 1 | Platform: Blue | Start Time: 8:00 AM | Weight Class: Female 49kg B | Entry Total: 70-120 | Lifters: 14
Date: December 5, 2024 | Session: 2 | Platform: Red | Start Time: 10:00 AM | Weight Class: Female 55kg C | Entry Total: 102-124 | Lifters: 14
Date: December 5, 2024 | Session: 2 | Platform: White | Start Time: 10:00 AM | Weight Class: Male 32kg-61kg B | Entry Total: 155-155 | Lifters: 12
Date: December 5, 2024 | Session: 2 | Platform: Blue | Start Time: 10:00 AM | Weight Class: Female 59kg E | Entry Total: 43-110 | Lifters: 14
Date: December 5, 2024 | Session: 3 | Platform: Red | Start Time: 12:00 PM | Weight Class: Female 30kg-40kg A | Entry Total: 43-84 | Lifters: 13
Date: December 5, 2024 | Session: 3 | Platform: White | Start Time: 12:00 PM | Weight Class: Male 32kg-61kg A | Entry Total: 175-270 | Lifters: 11
Date: December 5, 2024 | Session: 3 | Platform: Blue | Start Time: 12:00 PM | Weight Class: Female 59kg D | Entry Total: 112-130 | Lifters: 13
Date: December 5, 2024 | Session: 4 | Platform: Red | Start Time: 2:00 PM | Weight Class: Female 45kg A | Entry Total: 59-150 | Lifters: 14
Date: December 5, 2024 | Session: 4 | Platform: White | Start Time: 2:00 PM | Weight Class: Male 67kg B | Entry Total: 95-205 | Lifters: 14
Date: December 5, 2024 | Session: 4 | Platform: Blue | Start Time: 2:00 PM | Weight Class: Female 55kg B | Entry Total: 125-150 | Lifters: 13
Date: December 5, 2024 | Session: 5 | Platform: Red | Start Time: 4:00 PM | Weight Class: Female 49kg A | Entry Total: 120-170 | Lifters: 14
Date: December 5, 2024 | Session: 5 | Platform: White | Start Time: 4:00 PM | Weight Class: Male 67kg A | Entry Total: 210-285 | Lifters: 14
Date: December 5, 2024 | Session: 5 | Platform: Blue | Start Time: 4:00 PM | Weight Class: Female 55kg A | Entry Total: 151-180 | Lifters: 13
Date: December 5, 2024 | Session: 6 | Platform: Red | Start Time: 6:00 PM | Weight Class: Female 64kg G | Entry Total: 73-116 | Lifters: 14
Date: December 5, 2024 | Session: 6 | Platform: White | Start Time: 6:00 PM | Weight Class: Male 73kg D | Entry Total: 146-200 | Lifters: 14
Date: December 5, 2024 | Session: 6 | Platform: Blue | Start Time: 6:00 PM | Weight Class: Female 59kg C | Entry Total: 130-154 | Lifters: 13
Date: December 5, 2024 | Session: 7 | Platform: Red | Start Time: 8:00 PM | Weight Class: Female 64kg F | Entry Total: 117-130 | Lifters: 14
Date: December 5, 2024 | Session: 7 | Platform: White | Start Time: 8:00 PM | Weight Class: Male 73kg C | Entry Total: 200-230 | Lifters: 13
Date: December 5, 2024 | Session: 7 | Platform: Blue | Start Time: 8:00 PM | Weight Class: Male 81kg & 73+kg D | Entry Total: 110-202 | Lifters: 11
Date: December 6, 2024 | Session: 8 | Platform: Red | Start Time: 8:00 AM | Weight Class: Female 71kg & 64+kg G | Entry Total: 80-115 | Lifters: 13
Date: December 6, 2024 | Session: 8 | Platform: White | Start Time: 8:00 AM | Weight Class: Female 64kg E | Entry Total: 131-145 | Lifters: 13
Date: December 6, 2024 | Session: 8 | Platform: Blue | Start Time: 8:00 AM | Weight Class: Male 81kg & 73+kg C | Entry Total: 203-230 | Lifters: 115
Date: December 6, 2024 | Session: 9 | Platform: Red | Start Time: 10:00 AM | Weight Class: Female 71kg & 64+kg F | Entry Total: 115-130 | Lifters: 13
Date: December 6, 2024 | Session: 9 | Platform: White | Start Time: 10:00 AM | Weight Class: Female 64kg D | Entry Total: 145-160 | Lifters: 13
Date: December 6, 2024 | Session: 9 | Platform: Blue | Start Time: 10:00 AM | Weight Class: Male 73kg B | Entry Total: 230-250 | Lifters: 13
Date: December 6, 2024 | Session: 10 | Platform: Red | Start Time: 12:00 PM | Weight Class: Female 59kg B | Entry Total: 155-170 | Lifters: 13
Date: December 6, 2024 | Session: 10 | Platform: White | Start Time: 12:00 PM | Weight Class: Female 64kg C | Entry Total: 160-170 | Lifters: 13
Date: December 6, 2024 | Session: 10 | Platform: Blue | Start Time: 12:00 PM | Weight Class: Male 81kg & 73+kg B | Entry Total: 240-270 | Lifters: 11
Date: December 6, 2024 | Session: 11 | Platform: Red | Start Time: 2:00 PM | Weight Class: Female 71kg & 64+kg E | Entry Total: 130-151 | Lifters: 13
Date: December 6, 2024 | Session: 11 | Platform: White | Start Time: 2:00 PM | Weight Class: Female 64kg B | Entry Total: 170-180 | Lifters: 13
Date: December 6, 2024 | Session: 11 | Platform: Blue | Start Time: 2:00 PM | Weight Class: Male 73kg A | Entry Total: 250-284 | Lifters: 13
Date: December 6, 2024 | Session: 12 | Platform: Red | Start Time: 4:00 PM | Weight Class: Female 71kg & 64+kg D | Entry Total: 153-170 | Lifters: 13
Date: December 6, 2024 | Session: 12 | Platform: White | Start Time: 4:00 PM | Weight Class: Female 64kg A | Entry Total: 180-208 | Lifters: 13
Date: December 6, 2024 | Session: 12 | Platform: Blue | Start Time: 4:00 PM | Weight Class: Female 59kg A | Entry Total: 170-200 | Lifters: 13
Date: December 6, 2024 | Session: 13 | Platform: Red | Start Time: 6:00 PM | Weight Class: Female 71kg & 64+kg C | Entry Total: 170-177 | Lifters: 13
Date: December 6, 2024 | Session: 13 | Platform: White | Start Time: 6:00 PM | Weight Class: Female 76kg E | Entry Total: 90-131 | Lifters: 13
Date: December 6, 2024 | Session: 13 | Platform: Blue | Start Time: 6:00 PM | Weight Class: Male 81kg & 73+kg A | Entry Total: 275-320 | Lifters: 11
